hour,zone,planning_year,model,case,value
89,ISNE,2030,USENSYS,26z-debug-highCCScost-foresight,2724.1
90,ISNE,2030,USENSYS,26z-debug-highCCScost-foresight,2976.9
91,ISNE,2030,USENSYS,26z-debug-highCCScost-foresight,3011
92,ISNE,2030,USENSYS,26z-debug-highCCScost-foresight,3016.2
93,ISNE,2030,USENSYS,26z-debug-highCCScost-foresight,2968.1
88,ISNE,2040,USENSYS,26z-debug-highCCScost-foresight,436.2
89,ISNE,2040,USENSYS,26z-debug-highCCScost-foresight,2762.2
90,ISNE,2040,USENSYS,26z-debug-highCCScost-foresight,11180.6
91,ISNE,2040,USENSYS,26z-debug-highCCScost-foresight,16171.3
92,ISNE,2040,USENSYS,26z-debug-highCCScost-foresight,19029.8
93,ISNE,2040,USENSYS,26z-debug-highCCScost-foresight,14318.1
94,ISNE,2040,USENSYS,26z-debug-highCCScost-foresight,107.6
89,ISNE,2050,USENSYS,26z-debug-highCCScost-foresight,1275.1
90,ISNE,2050,USENSYS,26z-debug-highCCScost-foresight,1830.6
91,ISNE,2050,USENSYS,26z-debug-highCCScost-foresight,6028.6
92,ISNE,2050,USENSYS,26z-debug-highCCScost-foresight,8401.2
93,ISNE,2050,USENSYS,26z-debug-highCCScost-foresight,4940.9
94,ISNE,2050,USENSYS,26z-debug-highCCScost-foresight,273.8
