Line,New_Trans_Capacity,Cost_Trans_Capacity
1,5.466955788936081e-8,54669.55788936082
2,1.565154588530034e-12,1.565154588530034
3,1.7843224190307927e-12,1.7843224190307925
4,1.4794593766115485e-12,1.4794593766115485
5,7.527696210805189e-13,0.7527696210805189
6,1.2288241889323295e-12,1.2288241889323297
7,1.1565729555117153e-12,1.1565729555117155
8,1.5273269356815585e-12,1.5273269356815584
9,2.251988392316148e-12,2.251988392316148
10,1.0026042337748389e-13,0.10026042337748389
11,1.0716932774738498e-13,0.107169327747385
12,2.4388115075877175e-12,2.4388115075877175
13,7.562890354607181e-11,75.62890354607181
14,2.0923822099007167e-12,2.0923822099007165
15,5.526122166207866e-13,0.5526122166207866
16,7.786258764923907e-13,0.7786258764923907
17,6.797146890221603e-13,0.6797146890221603
18,1.1533782974610184e-13,0.11533782974610182
19,2.898440577901869e-10,289.8440577901869
20,1.959469573219603e-12,1.9594695732196028
21,1.2565420014440346e-12,1.2565420014440345
22,2.9614318947122967e-10,296.1431894712297
23,2.0034144346600193e-13,0.2003414434660019
24,1.3760861142702165e-13,0.13760861142702163
25,1.9568175557806123e-12,1.9568175557806122
26,2.4501605863549434e-12,2.4501605863549436
27,9.659908710149555e-13,0.9659908710149556
28,6.279731099745257e-14,0.06279731099745257
29,1.5357617658403958e-12,1.535761765840396
30,2.9548723883570543e-10,295.48723883570545
31,8.88632751215999e-14,0.0888632751215999
32,5.817608580611439e-12,5.817608580611439
33,2.642832926063291e-12,2.642832926063291
34,2.369559453479915e-12,2.3695594534799147
35,1.5582239315237276e-12,1.5582239315237276
36,9.50933821041086e-14,0.09509338210410859
37,3.1437749008674177e-12,3.143774900867418
38,3.1960737467332617e-12,3.1960737467332616
39,2.19225670858068e-12,2.19225670858068
40,1.4068532377582765e-12,1.4068532377582765
41,2.43333111058629e-12,2.43333111058629
42,1.1051877790362876e-12,1.1051877790362876
43,2.4172720641136466e-13,0.24172720641136464
44,2.29344217071467e-12,2.29344217071467
45,4.353059793530403e-12,4.353059793530403
46,5.6012053632617766e-14,0.05601205363261776
47,1.1741361060549502e-12,1.1741361060549502
48,6.496764286505074e-14,0.06496764286505075
49,7.104742191972611e-14,0.07104742191972611
50,4.48693727476532e-12,4.486937274765319
51,2.5614323044778647e-13,0.2561432304477864
52,4.579780247870271e-12,4.579780247870271
53,1.4582364863712067e-12,1.4582364863712067
54,1.0850283827610138e-12,1.0850283827610139
55,1.6338997454040275e-13,0.16338997454040274
56,6.014406133278099e-13,0.6014406133278101
57,1.5520328784683603e-12,1.5520328784683604
